,SAR,Infections,Reff_1,Reff_2,Excess,n
452,1.482734702,0.033239537,0.067442948,0.134885897,1.074518749,45100
453,1.486520446,0.033302288,0.06727119,0.134542381,1.072284706,45200
454,1.490309715,0.03336501,0.067100146,0.134200293,1.070058987,45300
455,1.49410251,0.033427702,0.066929812,0.133859624,1.067841546,45400
456,1.497898834,0.033490365,0.066760183,0.133520366,1.065632334,45500
457,1.50169869,0.033552999,0.066591255,0.133182509,1.063431305,45600
458,1.505502079,0.033615604,0.066423023,0.132846047,1.061238413,45700
459,1.509309005,0.033678179,0.066255485,0.13251097,1.05905361,45800
460,1.513119469,0.033740726,0.066088635,0.13217727,1.056876853,45900
461,1.516933474,0.033803243,0.065922469,0.131844938,1.054708094,46000
462,1.520751023,0.033865732,0.065756984,0.131513967,1.052547289,46100
463,1.524572117,0.033928192,0.065592174,0.131184349,1.050394394,46200
464,1.528396758,0.033990623,0.065428037,0.130856074,1.048249363,46300
465,1.53222495,0.034053025,0.065264568,0.130529137,1.046112153,46400
466,1.536056695,0.034115398,0.065101764,0.130203527,1.04398272,46500
467,1.539891995,0.034177743,0.064939619,0.129879239,1.041861021,46600
468,1.543730851,0.034240059,0.064778131,0.129556263,1.039747013,46700
469,1.547573268,0.034302346,0.064617296,0.129234592,1.037640652,46800
470,1.551419246,0.034364606,0.064457109,0.128914219,1.035541897,46900
471,1.555268789,0.034426836,0.064297568,0.128595135,1.033450706,47000
472,1.559121898,0.034489038,0.064138667,0.128277334,1.031367036,47100
473,1.562978577,0.034551212,0.063980403,0.127960807,1.029290846,47200
474,1.566838826,0.034613358,0.063822774,0.127645548,1.027222095,47300
475,1.570702649,0.034675475,0.063665774,0.127331548,1.025160743,47400
476,1.574570049,0.034737564,0.063509401,0.127018801,1.023106748,47500
477,1.578441026,0.034799625,0.06335365,0.1267073,1.021060071,47600
478,1.582315584,0.034861658,0.063198518,0.126397036,1.019020671,47700
